City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saipan,15.1355,145.701,301.54,78,40,3.6,MP,1728571152
83,sodra sandby,56.5667,16.6167,288.09,96,100,5.85,SE,1728571154
84,san salvador de jujuy,-24.1946,-65.2971,288.89,86,100,2.29,AR,1728571150
85,livingston,55.9029,-3.5226,283.09,56,40,4.63,GB,1728571156
86,vilyuysk,63.7553,121.6247,265.08,98,94,0.95,RU,1728571158
87,tura,25.5198,90.2201,296.44,90,14,1.97,IN,1728571159
88,yuzhno-kurilsk,44.0306,145.8556,284.11,70,100,9.61,RU,1728571160
89,kerikeri,-35.2268,173.9474,283.66,88,100,0.89,NZ,1728571161
90,hawaiian paradise park,19.5933,-154.9731,295.31,99,75,2.57,US,1728571163
91,udachny,66.4167,112.4,259.68,100,91,0.91,RU,1728571164
92,georgetown,5.4112,100.3354,300.11,88,40,1.54,MY,1728571150
93,dunedin,-45.8742,170.5036,279.94,78,54,2.75,NZ,1728571167
94,heunghae,36.1125,129.3522,289.38,78,1,1.87,KR,1728571168
95,orchard homes,46.8633,-114.0484,284.23,69,100,2.57,US,1728571170
96,vilyuchinsk,52.9306,158.4028,273.3,71,0,3.35,RU,1728571171
97,uturoa,-16.7333,-151.4333,298.64,78,100,9.97,PF,1728571172
98,leh,34.1667,77.5833,278.09,20,13,2.27,IN,1728571174
99,ballina,-28.8667,153.5667,290.59,81,100,0.16,AU,1728571175
100,massawa,15.6097,39.45,305.73,59,6,2.42,ER,1728571176
101,codrington,-38.2667,141.9667,279.73,87,0,3.47,AU,1728571178
102,ola,59.5833,151.2833,270.84,67,22,2.13,RU,1728571179
103,hammerfest,70.6634,23.6821,278.4,70,20,5.66,NO,1728571180
104,olonkinbyen,70.9221,-8.7187,270.81,79,100,16.93,SJ,1728571182
105,kaliganj,23.4095,89.1402,299.75,86,3,2.29,BD,1728571183
106,hermanus,-34.4187,19.2345,291.37,68,97,8.52,ZA,1728571184
107,valdivia,-39.8142,-73.2459,285.2,79,96,2.18,CL,1728571186
108,sitia,35.2,26.0986,297.41,70,35,1.48,GR,1728571187
109,kone,-21.0595,164.8658,291.18,90,9,1.26,NC,1728571188
110,moroni,-11.7022,43.2551,299.13,77,2,5.34,KM,1728571190
111,jaisalmer,26.9147,70.9181,306.77,14,1,1.89,IN,1728571191
112,peace river,56.2501,-117.286,275.74,95,40,4.12,CA,1728570901
113,vernon,50.2581,-119.2691,279.51,73,82,3.09,CA,1728571194
114,badger,64.8,-147.5333,272.29,93,100,1.54,US,1728571195
115,zhaoyuan,37.3592,120.3964,285.5,75,0,1.46,CN,1728571196
116,vorgashor,67.5833,63.95,264.74,96,10,1.34,RU,1728571198
117,sol'-iletsk,51.1631,54.9918,285.4,56,100,4.91,RU,1728571199
118,saldanha,-33.0117,17.9442,290.15,66,100,3.96,ZA,1728571200
119,portland,45.5234,-122.6762,282.25,94,75,1.34,US,1728571202
120,labuan,5.2767,115.2417,302.35,83,20,1.54,MY,1728571203
121,chauk,20.8833,94.8167,301.28,72,27,2.04,MM,1728571204
122,arar,30.9753,41.0381,308.16,6,0,5.14,SA,1728571206
123,kodiak,57.79,-152.4072,269.88,93,0,3.09,US,1728571207
124,carauari,-4.8828,-66.8958,307.67,48,86,0.25,BR,1728571209
125,glendive,47.1053,-104.7125,284.94,50,0,0.0,US,1728571210
126,ibiza,38.9088,1.433,297.05,50,20,5.14,ES,1728571212
127,porto belo,-27.1578,-48.5531,293.2,98,100,8.01,BR,1728571213
128,acarau,-2.8856,-40.12,304.73,55,98,8.84,BR,1728571214
129,general villegas,-35.0328,-63.0125,296.29,29,58,3.78,AR,1728571216
130,edinburgh of the seven seas,-37.0676,-12.3116,286.73,77,100,11.74,SH,1728571217
131,naze,28.3667,129.4833,293.66,77,3,1.87,JP,1728571218
132,kavieng,-2.5744,150.7967,300.42,80,100,3.27,PG,1728571220
133,torit,4.4133,32.5678,300.34,69,56,0.39,SS,1728571221
134,talas,38.6908,35.5538,297.52,22,0,4.63,TR,1728571222
135,novaya lyalya,59.055,60.599,270.99,55,6,4.15,RU,1728571223
136,sabang,5.8933,95.3214,301.54,76,100,9.53,ID,1728571225
137,utrik,11.2278,169.8474,301.28,78,95,5.41,MH,1728571226
138,atafu village,-8.5421,-172.5159,301.02,76,53,5.06,TK,1728571229
139,reggane,26.7158,0.1714,313.24,15,0,5.49,DZ,1728571230
140,qaqortoq,60.7167,-46.0333,276.61,71,19,2.31,GL,1728571232
141,jianshui,23.6363,102.8264,290.91,96,98,1.33,CN,1728571233
142,shibganj,24.6829,88.1598,302.16,62,25,1.12,BD,1728571234
143,paka,4.6374,103.4368,299.11,89,96,0.0,MY,1728571236
144,borrazopolis,-23.9411,-51.5875,297.21,63,100,1.44,BR,1728571237
145,cabedelo,-6.9811,-34.8339,303.52,66,94,5.08,BR,1728571238
146,tazovsky,67.4667,78.7,271.43,89,93,9.32,RU,1728571240
147,harper,4.375,-7.7169,300.31,77,87,3.81,LR,1728571241
148,taro,-8.3862,115.28,292.71,96,89,0.59,ID,1728571242
149,rongelap,11.1635,166.8941,300.42,82,100,6.59,MH,1728571244
150,teodoro sampaio,-22.5325,-52.1675,296.07,83,100,1.5,BR,1728571245
151,biharamulo,-2.6319,31.3089,297.23,52,79,1.88,TZ,1728571246
152,miles city,46.4083,-105.8406,282.69,49,0,5.14,US,1728571248
153,selfoss,63.9331,-20.9971,274.84,51,98,6.32,IS,1728571249
154,plastun,44.7561,136.2939,280.99,94,100,2.43,RU,1728571251
155,kourou,5.1552,-52.6478,304.59,57,42,3.63,GF,1728571252
156,floro,61.5996,5.0328,281.13,61,40,5.66,NO,1728571253
157,libreville,0.3925,9.4537,302.16,74,20,4.63,GA,1728571255
158,hami,42.8,93.45,289.98,29,0,2.37,CN,1728571256
159,hotan,37.0997,79.9269,291.89,30,24,3.19,CN,1728571257
160,west island,-12.1568,96.8225,300.14,78,20,7.2,CC,1728571259
161,saudarkrokur,65.7461,-19.6394,274.22,80,81,5.47,IS,1728571260
162,ilulissat,69.2167,-51.1,273.16,47,0,6.69,GL,1728571261
163,puerto natales,-51.7236,-72.4875,280.4,70,40,10.8,CL,1728571263
164,eynesil,41.0645,39.1438,294.5,87,100,2.02,TR,1728571264
165,stanley,54.868,-1.6985,282.75,63,20,5.14,GB,1728571265
166,lazarevskoye,43.9061,39.3331,294.19,61,100,1.79,RU,1728571267
167,conception bay south,47.4999,-52.9981,287.84,94,100,5.9,CA,1728571268
168,kyaikto,17.3,97.0167,300.16,82,18,0.89,MM,1728571270
169,rufino,-34.2683,-62.7126,295.68,32,62,2.58,AR,1728571271
170,hiratacho,35.4333,132.8167,288.13,94,75,3.6,JP,1728571272
171,weno,7.4515,151.8468,300.12,89,100,1.54,FM,1728571274
172,nova vicosa,-17.8919,-39.3719,301.44,63,79,5.35,BR,1728571275
173,koryazhma,61.3143,47.1691,274.91,59,100,4.0,RU,1728571276
174,shahrak,34.1074,64.3052,286.31,26,0,2.3,AF,1728571278
175,zhuanghe,39.7008,122.9911,285.04,46,0,1.95,CN,1728571240
176,hasaki,35.7333,140.8333,293.07,69,16,7.86,JP,1728571283
177,oum hadjer,13.2954,19.6966,310.0,21,6,0.98,TD,1728571284
178,lupane,-18.9315,27.807,305.48,9,3,5.81,ZW,1728571285
179,pendleton,45.6721,-118.7886,281.93,66,0,0.0,US,1728571286
180,ad dabbah,18.05,30.95,312.53,11,4,6.81,SD,1728571288
181,montagu,-40.7667,144.9667,284.07,70,99,6.26,AU,1728571289
182,talent,42.2457,-122.7887,285.3,85,98,0.06,US,1728571290
183,timbuktu,16.7735,-3.0074,314.14,12,13,4.51,ML,1728571292
184,spassk,52.747,87.7545,277.6,91,89,1.28,RU,1728571293
185,turochak,52.2576,87.1224,280.42,86,100,1.42,RU,1728571294
186,noumea,-22.2763,166.4572,293.47,84,76,3.29,NC,1728571296
187,samus',56.7475,84.6992,273.28,60,100,1.59,RU,1728571297
188,al artawiyah,26.5053,45.3444,304.37,15,0,4.81,SA,1728571298
189,birao,10.2849,22.7882,304.02,56,33,2.39,CF,1728571300
190,fortuna foothills,32.6578,-114.4119,297.2,46,0,0.0,US,1728571301
191,manismata,-2.4667,111.0333,297.52,98,100,0.68,ID,1728571302
192,long beach,33.767,-118.1892,290.55,94,100,0.89,US,1728571038
193,smithers,54.7804,-127.1743,272.33,100,75,0.0,CA,1728571305
194,niteroi,-22.8833,-43.1036,296.09,83,100,6.17,BR,1728571035
195,luderitz,-26.6481,15.1594,291.42,59,0,6.24,NA,1728571308
196,suntar,62.1444,117.6319,271.07,95,100,1.09,RU,1728571309
197,longyearbyen,78.2186,15.6401,277.06,75,75,10.29,SJ,1728571089
198,kuala belait,4.5833,114.1833,299.95,83,97,1.16,BN,1728571312
199,taunggyi,20.7833,97.0333,291.41,94,15,0.94,MM,1728571313
200,meadow lake,34.8014,-106.5436,296.86,19,2,0.92,US,1728571314
201,keflavik,64.0049,-22.5624,274.39,75,75,9.26,IS,1728571316
202,saint-philippe,-21.3585,55.7679,294.81,81,76,6.3,RE,1728571317
